date,price
2021/1/5,8.7682
2021/1/4,8.767
2021/1/1,8.9326
2020/12/31,8.9134
2020/12/30,8.8717
2020/12/29,8.8102
2020/12/28,8.8243
2020/12/25,8.8478
2020/12/24,8.8511
2020/12/23,8.8433
2020/12/22,8.7442
2020/12/21,8.7126
2020/12/18,8.8166
2020/12/17,8.8774
2020/12/16,8.8206
2020/12/15,8.7491
2020/12/14,8.7385
2020/12/11,8.6643
2020/12/10,8.6923
2020/12/9,8.7828
2020/12/8,8.694
2020/12/7,8.6858
2020/12/4,8.81
2020/12/3,8.8228
2020/12/2,8.7464
2020/12/1,8.7773
2020/11/30,8.7941
2020/11/27,8.7834
2020/11/26,8.764
2020/11/25,8.7911
2020/11/24,8.7823
2020/11/23,8.7731
2020/11/20,8.7251
2020/11/19,8.7035
2020/11/18,8.7309
2020/11/17,8.6925
2020/11/16,8.6839
2020/11/13,8.6916
2020/11/12,8.6879
2020/11/11,8.7629
2020/11/10,8.7705
2020/11/9,8.7265
2020/11/6,8.6872
2020/11/5,8.635
2020/11/4,8.6555
2020/11/3,8.7113
2020/11/2,8.6324
2020/10/30,8.6595
2020/10/29,8.6744
2020/10/28,8.7547
2020/10/27,8.7575
2020/10/26,8.7302
2020/10/23,8.7237
2020/10/22,8.7511
2020/10/21,8.7417
2020/10/20,8.6526
2020/10/19,8.6797
2020/10/16,8.6514
2020/10/15,8.6915
2020/10/14,8.7493
2020/10/13,8.7553
2020/10/12,8.8192
2020/10/9,8.7093
2020/10/8,8.7785
2020/10/7,8.7738
2020/10/6,8.7993
2020/10/5,8.8091
2020/10/2,8.788
2020/10/1,8.7566
2020/9/30,8.7818
2020/9/29,8.7658
2020/9/28,8.7572
2020/9/25,8.6678
2020/9/24,8.6913
2020/9/23,8.6853
2020/9/22,8.6365
2020/9/21,8.7036
2020/9/18,8.7683
2020/9/17,8.7617
2020/9/16,8.7786
2020/9/15,8.7198
2020/9/14,8.7739
2020/9/11,8.7369
2020/9/10,8.7956
2020/9/9,8.8939
2020/9/8,8.9237
2020/9/7,8.9914
2020/9/4,9.0324
2020/9/3,9.0787
2020/9/2,9.0897
2020/9/1,9.1682
2020/8/31,9.1549
2020/8/28,9.1639
2020/8/27,9.0951
2020/8/26,9.0779
2020/8/25,9.0705
2020/8/24,9.0417
2020/8/21,9.0592
2020/8/20,9.1002
2020/8/19,9.1253
2020/8/18,9.1551
2020/8/17,9.0799
2020/8/14,9.1073
2020/8/13,9.0865
2020/8/12,9.051
2020/8/11,9.0875
2020/8/10,9.1074
2020/8/7,9.0986
2020/8/6,9.1277
2020/8/5,9.119
2020/8/4,9.107
2020/8/3,9.1051
2020/7/31,9.1654
2020/7/30,9.1285
2020/7/29,9.0847
2020/7/28,9.0521
2020/7/27,9.0138
2020/7/24,8.9754
2020/7/23,8.925
2020/7/22,8.9128
2020/7/21,8.8927
2020/7/20,8.8321
2020/7/17,8.7664
2020/7/16,8.8121
2020/7/15,8.8073
2020/7/14,8.7802
2020/7/13,8.825
2020/7/10,8.8514
2020/7/9,8.8224
2020/7/8,8.8117
2020/7/7,8.8252
2020/7/6,8.7723
2020/7/3,8.8107
2020/7/2,8.8151
2020/7/1,8.8128
2020/6/30,8.7465
2020/6/29,8.6885
2020/6/26,8.7254
2020/6/25,8.7857
2020/6/24,8.7996
2020/6/23,8.8382
2020/6/22,8.7943
2020/6/19,8.7448
2020/6/18,8.8139
2020/6/17,8.8728
2020/6/16,8.9198
2020/6/15,8.9009
2020/6/12,8.8769
2020/6/11,8.9349
2020/6/10,9.0062
2020/6/9,9.0142
2020/6/8,8.9738
2020/6/5,9.0079
2020/6/4,8.9496
2020/6/3,8.9648
2020/6/2,8.9018
2020/6/1,8.8842
2020/5/29,8.8077
2020/5/28,8.8005
2020/5/27,8.7598
2020/5/26,8.8074
2020/5/25,8.7044
2020/5/22,8.686
2020/5/21,8.6975
2020/5/20,8.7071
2020/5/19,8.6916
2020/5/18,8.679
2020/5/15,8.6084
2020/5/14,8.6543
2020/5/13,8.6707
2020/5/12,8.7238
2020/5/11,8.7571
2020/5/8,8.7954
2020/5/7,8.7176
2020/5/6,8.7763
2020/5/5,8.795
2020/5/4,8.7759
2020/5/1,8.8542
2020/4/30,8.8987
2020/4/29,8.7977
2020/4/28,8.8083
2020/4/27,8.8013
2020/4/24,8.7329
2020/4/23,8.757
2020/4/22,8.7296
2020/4/21,8.7009
2020/4/20,8.8106
2020/4/17,8.8399
2020/4/16,8.8023
2020/4/15,8.848
2020/4/14,8.8693
2020/4/13,8.8303
2020/4/10,8.7833
2020/4/9,8.7724
2020/4/8,8.7748
2020/4/7,8.6971
2020/4/6,8.7119
2020/4/3,8.6836
2020/4/2,8.7796
2020/4/1,8.8033
2020/3/31,8.8161
2020/3/30,8.8101
2020/3/27,8.7544
2020/3/26,8.5421
2020/3/25,8.2995
2020/3/24,8.3052
2020/3/23,8.1746
2020/3/20,8.3714
2020/3/19,8.3762
2020/3/18,8.2975
2020/3/17,8.4525
2020/3/16,8.6208
2020/3/13,8.7587
2020/3/12,8.8444
2020/3/11,8.982
2020/3/10,9.0401
2020/3/9,9.1267
2020/3/6,9.0304
2020/3/5,8.9583
2020/3/4,8.8983
2020/3/3,8.9261
2020/3/2,8.9165
2020/2/28,8.9688
2020/2/27,9.0332
2020/2/26,9.0909
2020/2/25,9.1324
2020/2/24,9.0898
2020/2/21,9.1109
2020/2/20,9.046
2020/2/19,9.0616
2020/2/18,9.1101
2020/2/17,9.083
2020/2/14,9.0938
2020/2/13,9.1109
2020/2/12,9.0351
2020/2/11,9.0228
2020/2/10,9.0388
2020/2/7,9.0602
2020/2/6,9.0177
2020/2/5,9.0591
2020/2/4,9.1164
2020/2/3,9.1415
2020/1/31,9.0876
2020/1/30,9.0471
2020/1/29,8.9856
2020/1/28,8.9803
2020/1/27,9.0287
2020/1/24,9.0443
2020/1/23,9.0987
2020/1/22,9.0715
2020/1/21,9.0115
2020/1/20,8.9191
2020/1/17,8.9343
2020/1/16,8.9812
2020/1/15,8.9739
2020/1/14,8.9641
2020/1/13,8.9539
2020/1/10,9.0425
2020/1/9,9.0572
2020/1/8,9.1167
2020/1/7,9.1097
2020/1/6,9.1728
2020/1/3,9.1195
2020/1/2,9.174
2020/1/1,9.2346
2019/12/31,9.2057
2019/12/30,9.1665
2019/12/27,9.1737
2019/12/26,9.088
2019/12/25,8.9694
2019/12/24,9.0769
2019/12/23,9.0784
2019/12/20,9.1507
2019/12/19,9.131
2019/12/18,9.1568
2019/12/17,9.2142
2019/12/16,9.3272
